order_id,klant_id,klant_naam,e-mailadres,telefoonnummer,leeftijd,loyalty_status,product_naam,merk,maat,prijs,aantal,totaal_bedrag,aankoopdatum,betaalmethode,land,straatnaam,huisnummer,postcode,woonplaats
1001,K2620,Ali Schellekens,imrangoyaerts-van-waderle@van.com,+31338 908386,25,Nieuw,Triple S,Balenciaga,39,254.65,1,254.65,2022-12-09,iDEAL,Luxemburg,Samiweg,26,4616 BU,Harreveld
1002,K1729,Loes Schilt-Amalrada,rvoortman@moenen.com,+31615 594078,20,Nieuw,Yeezy Boost 350 V2,Adidas,44,601.51,1,601.51,2022-07-13,Apple Pay,België,Charlottedreef,793,7900DU,Wintelre
1003,K1840,Azra Smits,johannadorsman@gmail.com,(041) 3164752,55,Nieuw,Air Max 1 Premium,Nike,42,405.19,1,405.19,2023-07-30,PayPal,Nederland,Deanring,3,7514CP,Parrega
1004,K0380,Emma Rubben,benthepieters@van.com,(050) 3056413,42,Nieuw,Speed Trainer,Balenciaga,36,697.3,1,697.3,2024-05-31,Apple Pay,Nederland,Tychosteeg,9,1759 YW,Thesinge
1005,K2262,Esila van Westfalen,qjanssen@gmail.com,(088) 4969653,36,Goud,550,New Balance,45,294.22,1,294.22,2022-08-03,Creditcard,Duitsland,Kimsingel,25,9459VC,Lemiers
1006,K0327,Bibi Brumleve-Hanegraaff,lottevan-brenen@de.org,(0848)-018451,32,Goud,Rhyton Sneaker,Gucci,43,626.76,1,626.76,2023-04-01,PayPal,Duitsland,Chloéweg,72,4121 FL,Eesterga
1007,K0859,Ecrin van Hoevel en van Zwindrecht,yinthe82@spruyt.net,(0252) 880957,60,Nieuw,Yeezy Slide,Yeezy,45,626.23,1,626.23,2022-01-31,Creditcard,België,Adrianaboulevard,9,5866PV,Meeden
1008,K1894,Victor Wouters,brianperkins@hotmail.com,+31171 822782,42,Nieuw,Yeezy Slide,Yeezy,46,393.21,1,393.21,2023-02-16,iDEAL,België,Daniëllaan,56,6496 FY,Mander
1009,K0132,Yinthe Meyer,sep57@jumbo.com,(015) 0983930,38,Zilver,Air Max 1 Premium,Nike,45,807.28,1,807.28,2022-04-21,Apple Pay,Frankrijk,Sennaweg,0,4711SA,Kapel Avezaath
1010,K2634,Florian Dirven,cornelis83@royal.com,+31(0)997 376311,47,Nieuw,Yeezy Boost 350 V2,Adidas,44,554.23,1,554.23,2024-10-20,Apple Pay,Luxemburg,Marinusring,298,9825 SJ,Baambrugge
1011,K1636,Isabel van Breukelveen,rclaassen@hotmail.com,+3106 5133387,41,Nieuw,Adidas NMD,Adidas,43,218.18,1,218.18,2022-08-06,iDEAL,België,Felineboulevard,340,1159QH,Barsingerhorn
1012,K2571,Elisabeth Schipper,noraheijkelboom@yahoo.com,+3108 0132677,28,Goud,Ace Sneaker,Gucci,42,436.21,2,872.42,2022-11-29,PayPal,Luxemburg,Thijnsingel,7,7953AA,Berghem
1013,K0048,Suze Cornelisz,yadelaar@koninklijke.biz,(023)-4309805,61,Goud,Yeezy Foam RNNR,Yeezy,46,405.13,1,405.13,2022-03-30,Creditcard,Frankrijk,Milansteeg,77,3419 EC,Berkenwoude
1014,K0014,Mees van Oosten,van-de-pavertdaniel@doorhof.com,+31(0)193-990916,64,Goud,Triple S,Balenciaga,44,834.47,1,834.47,2024-10-18,PayPal,Luxemburg,Stenpad,838,9792WZ,Zwammerdam
1015,K2495,Veerle Robbrechts Bruijne,leon46@steenbakkers.com,+31079 911838,30,Nieuw,Adidas NMD,Adidas,44,838.87,1,838.87,2023-02-16,Apple Pay,Nederland,Oscarring,447,9980 GD,Sint Geertruid
1016,K0459,"Vigo West-Francië, van",rikscuylenborchs@van.com,0841 241182,41,Goud,Triple S,Balenciaga,36,330.65,1,330.65,2023-02-28,iDEAL,Nederland,Sarapad,49,4531 LS,Taarlo
1017,K2998,Lotte Merkx,jasmijnroosenboom@hotmail.com,(040)-1640052,49,Goud,990v5,New Balance,38,644.81,2,1289.62,2024-09-16,Creditcard,Duitsland,Davehof,8,7295 PF,Schiphol-Rijk
1018,K2162,Elena van Geenen,heerkensdamian@hotmail.com,+31(0)805 982620,56,Zilver,Adidas NMD,Adidas,39,684.71,1,684.71,2023-04-24,PayPal,Frankrijk,Floortjebaan,5,4970VD,Cadier en Keer
